Model,gpt-3.5-turbo,SYSTEM,"Please output (positive or negative) a list of integers only, each integer between -523 and 523. 
Output format: [a, b, c, ...].",temperature,0.4,top_p,1,Prompter,TemplatePromptGenerator4SD1,Extractor,DumbExtractor
Message#,USER,ASSISTANT,Action,Coverage Rate,Coverage Plan
1,"""You will receive a description of bins (i.e. test cases) of a testbench for a hardware device under test (DUT). Then, you are going to generate a list of integers to cover these test cases.

----------
Now, we want to test the DUT with a list of integers as its input. We want the input to cover the bins (i.e. test cases) that we care about. Here's the description of the bins that we care about:
------
BINS DESCRIPTION
- The list contains segments (i.e. subsequences) of int.
- Each segment is of length 16.
- A segment follows a single-stride pattern with a stride width x if: the differences between two adjacent integers are always x.
- A segment follows a double-stride pattern with a stride width pair (x, y) if: the differences between two adjacent integers are alternating x and y, meanwhile x and y are different.
- A segment has no stride pattern if it neither follows a single-stride pattern nor a double-stride pattern.
- The maximum stride width is 15, and the minimum stride width is -16.
- For each of the following bins, the list contains at least one segment that satisfies it:
---
    - stride_1_seen - One bin per possible stride width between the minimum and maximum stride width, where the segment follows a single-stride pattern of the stride width.
    - stride_2_seen - One bin per pair of possible stride widths between the minimum and maximum stride width, where the segment follows a double-stride pattern of the stride width pair.
    - misc_bins - Various bins grouped in a dictionary:
        - single_stride_[n|p]_overflow - A segment where an incoming stream of values has a valid single stride but that stride is below the minimum (n) or above the maximum (p) stride width.
        - double_stride_[n|p][n|p] - A segment where an incoming stream of values has a valid double stride but those strides are below the minimum (n) or above the maximum (p) stride widths, nn indicates both are below the minimum, where np indicates one is below the minimum and the other above the maximum.
---
- Also, the list contains consecutive segments that satisfy the following bins:
---
    - no_stride_to_[single|double] - A segment has no repeating stride pattern, followed by another segment with a single/double stride pattern.
    - [single|double]_stride_[double|single] - A segment of single/double repeating stride pattern, followed by another segment with a double/single pattern.
---

------

----------
Following the bins description, generate a list that contains segments of integers, which covers the described bins as much as you can.
""","""Here is a list of integers that covers the described bins:

[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15,
 0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30,
 0, 3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 36, 39, 42, 45,
 0, 4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60,
 0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75,
 0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90,
 0, 7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84, 91, 98, 105,
 0, 8, 16, 24, 32, 40, 48, 56, 64, 72, 80, 88, 96, 104, 112, 120,
 0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99, 108, 117, 126, 135,
 0, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150,
 0, 11, 22, 33, 44, 55, 66, 77, 88, 99, 110, 121, 132, 143, 154, 165,
 0, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 132, 144, 156, 168, 180,
 0, 13, 26, 39,""",none,13,"{'single_1': 11, 'single_2': 11, 'single_3': 11, 'single_4': 11, 'single_5': 11, 'single_6': 11, 'single_7': 11, 'single_8': 11, 'single_9': 11, 'single_10': 11, 'single_11': 11, 'single_12': 11, 'no_stride_to_single': 1}"
2,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Single-stride pattern segment of stride width -10 is unreached.
- Single-stride pattern segment of stride width 0 is unreached.
- Single-stride pattern segment of stride width 13 is unreached.
- Double-stride pattern segment of stride width pair (0, 2) is unreached.
- Single-stride pattern segment of stride width -7 is unreached.
------
Please regenerate a segment of length 16 for each of these unreached bins according to the BINS DESCRIPTION.""","""Apologies for the oversight. Here is an updated list of integers to cover the unreached bins:

Single-stride pattern segment of stride width -10: 
[-10, -20, -30, -40, -50, -60, -70, -80, -90, -100, -110, -120, -130, -140, -150, -160]

Single-stride pattern segment of stride width 0: 
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

Single-stride pattern segment of stride width 13: 
[0, 13, 26, 39, 52, 65, 78, 91, 104, 117, 130, 143, 156, 169, 182, 195]

Double-stride pattern segment of stride width pair (0, 2): 
[0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2]

Single-stride pattern segment of stride width -7: 
[-7, -14, -21, -28, -35, -42, -49, -56, -63, -70, -77, -84, -91, -98, -105, -112]

Please note that these segments are added to the previously provided list to cover the unreached bins.""",none,20,"{'single_0': 11, 'single_1': 11, 'single_2': 12, 'single_3': 11, 'single_4': 11, 'single_5': 11, 'single_6': 11, 'single_7': 11, 'single_8': 11, 'single_9': 11, 'single_10': 11, 'single_11': 11, 'single_12': 11, 'single_13': 10, 'single_-10': 13, 'single_-7': 12, 'double_2_-2': 5, 'no_stride_to_single': 2, 'single_stride_to_double': 1, 'double_stride_to_single': 1}"
3,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Single-stride pattern segment of stride width 14 is unreached.
- Single-stride pattern segment of stride width -9 is unreached.
- Double-stride pattern segment of stride width pair (0, 6) is unreached.
- Single-stride pattern segment of stride width -15 is unreached.
- Single-stride pattern segment of stride width 15 is unreached.
------
Please regenerate a segment of length 16 for each of these unreached bins according to the BINS DESCRIPTION.""","""Apologies for the oversight. Here is an updated list of integers to cover the unreached bins:

Single-stride pattern segment of stride width 14: 
[0, 14, 28, 42, 56, 70, 84, 98, 112, 126, 140, 154, 168, 182, 196, 210]

Single-stride pattern segment of stride width -9: 
[0, -9, -18, -27, -36, -45, -54, -63, -72, -81, -90, -99, -108, -117, -126, -135]

Double-stride pattern segment of stride width pair (0, 6): 
[0, 6, 0, 6, 0, 6, 0, 6, 0, 6, 0, 6, 0, 6, 0, 6]

Single-stride pattern segment of stride width -15: 
[-15, -30, -45, -60, -75, -90, -105, -120, -135, -150, -165, -180, -195, -210, -225, -240]

Single-stride pattern segment of stride width 15: 
[15, 30, 45, 60, 75, 90, 105, 120, 135, 150, 165, 180, 195, 210, 225, 240]

Please note that these segments are added to the previously provided list to cover the unreached bins.""",none,26,"{'single_0': 11, 'single_1': 11, 'single_2': 12, 'single_3': 11, 'single_4': 11, 'single_5': 11, 'single_6': 12, 'single_7': 11, 'single_8': 11, 'single_9': 11, 'single_10': 11, 'single_11': 11, 'single_12': 11, 'single_13': 10, 'single_14': 11, 'single_15': 10, 'single_-15': 13, 'single_-10': 13, 'single_-9': 11, 'single_-7': 13, 'double_2_-2': 5, 'double_6_-6': 5, 'no_stride_to_double': 1, 'no_stride_to_single': 2, 'single_stride_to_double': 1, 'double_stride_to_single': 2}"
4,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Double-stride pattern segment of stride width pair (0, 10) is unreached.
- Single-stride pattern segment of stride width -16 is unreached.
- Double-stride pattern segment of stride width pair (0, 13) is unreached.
- Double-stride pattern segment of stride width pair (0, 11) is unreached.
- Single-stride pattern segment of stride width -14 is unreached.
------
Please regenerate a segment of length 16 for each of these unreached bins according to the BINS DESCRIPTION.""","""Apologies for the oversight. Here is an updated list of integers to cover the unreached bins:

Double-stride pattern segment of stride width pair (0, 10): 
[0, 10, 0, 10, 0, 10, 0, 10, 0, 10, 0, 10, 0, 10, 0, 10]

Single-stride pattern segment of stride width -16: 
[-16, -32, -48, -64, -80, -96, -112, -128, -144, -160, -176, -192, -208, -224, -240, -256]

Double-stride pattern segment of stride width pair (0, 13): 
[0, 13, 0, 13, 0, 13, 0, 13, 0, 13, 0, 13, 0, 13, 0, 13]

Double-stride pattern segment of stride width pair (0, 11): 
[0, 11, 0, 11, 0, 11, 0, 11, 0, 11, 0, 11, 0, 11, 0, 11]

Single-stride pattern segment of stride width -14: 
[-14, -28, -42, -56, -70, -84, -98, -112, -126, -140, -154, -168, -182, -196, -210, -224]

Please note that these segments are added to the previously provided list to cover the unreached bins.""",none,31,"{'single_0': 11, 'single_1': 11, 'single_2': 12, 'single_3': 11, 'single_4': 11, 'single_5': 11, 'single_6': 12, 'single_7': 11, 'single_8': 11, 'single_9': 11, 'single_10': 12, 'single_11': 13, 'single_12': 11, 'single_13': 10, 'single_14': 11, 'single_15': 11, 'single_-16': 13, 'single_-15': 13, 'single_-14': 12, 'single_-10': 13, 'single_-9': 11, 'single_-7': 13, 'double_2_-2': 5, 'double_6_-6': 5, 'double_10_-10': 5, 'double_11_-11': 4, 'double_13_-13': 6, 'no_stride_to_double': 1, 'no_stride_to_single': 2, 'single_stride_to_double': 3, 'double_stride_to_single': 4}"
5,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Single-stride pattern segment of stride width -13 is unreached.
- Single-stride pattern segment of stride width -12 is unreached.
- Double-stride pattern segment of stride width pair (0, 4) is unreached.
- Double-stride pattern segment of stride width pair (0, 15) is unreached.
- Double-stride pattern segment of stride width pair (0, 6) is unreached.
------
Please regenerate a segment of length 16 for each of these unreached bins according to the BINS DESCRIPTION.""","""Apologies for the oversight. Here is an updated list of integers to cover the unreached bins:

Single-stride pattern segment of stride width -13: 
[-13, -26, -39, -52, -65, -78, -91, -104, -117, -130, -143, -156, -169, -182, -195, -208]

Single-stride pattern segment of stride width -12: 
[-12, -24, -36, -48, -60, -72, -84, -96, -108, -120, -132, -144, -156, -168, -180, -192]

Double-stride pattern segment of stride width pair (0, 4): 
[0, 4, 0, 4, 0, 4, 0, 4, 0, 4, 0, 4, 0, 4, 0, 4]

Double-stride pattern segment of stride width pair (0, 15): 
[0, 15, 0, 15, 0, 15, 0, 15, 0, 15, 0, 15, 0, 15, 0, 15]

Double-stride pattern segment of stride width pair (0, 6): 
[0, 6, 0, 6, 0, 6, 0, 6, 0, 6, 0, 6, 0, 6, 0, 6]

Please note that these segments are added to the previously provided list to cover the unreached bins.""",none,35,"{'single_0': 11, 'single_1': 11, 'single_2': 12, 'single_3': 11, 'single_4': 11, 'single_5': 11, 'single_6': 13, 'single_7': 11, 'single_8': 11, 'single_9': 11, 'single_10': 12, 'single_11': 13, 'single_12': 11, 'single_13': 10, 'single_14': 11, 'single_15': 12, 'single_-16': 13, 'single_-15': 13, 'single_-14': 13, 'single_-13': 11, 'single_-12': 11, 'single_-10': 13, 'single_-9': 11, 'single_-7': 13, 'double_2_-2': 5, 'double_4_-4': 6, 'double_6_-6': 9, 'double_10_-10': 5, 'double_11_-11': 4, 'double_13_-13': 6, 'double_15_-15': 5, 'no_stride_to_double': 1, 'no_stride_to_single': 2, 'single_stride_to_double': 4, 'double_stride_to_single': 4}"
6,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Double-stride pattern segment of stride width pair (0, -15) is unreached.
- Double-stride pattern segment of stride width pair (0, 5) is unreached.
- Single-stride pattern segment of stride width -11 is unreached.
- Double-stride pattern segment of stride width pair (0, 1) is unreached.
- Single-stride pattern segment of stride width -8 is unreached.
------
Please regenerate a segment of length 16 for each of these unreached bins according to the BINS DESCRIPTION.""","""Apologies for the oversight. Here is an updated list of integers to cover the unreached bins:

Double-stride pattern segment of stride width pair (0, -15): 
[0, -15, 0, -15, 0, -15, 0, -15, 0, -15, 0, -15, 0, -15, 0, -15]

Double-stride pattern segment of stride width pair (0, 5): 
[0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5]

Single-stride pattern segment of stride width -11: 
[-11, -22, -33, -44, -55, -66, -77, -88, -99, -110, -121, -132, -143, -154, -165, -176]

Double-stride pattern segment of stride width pair (0, 1): 
[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]

Single-stride pattern segment of stride width -8: 
[-8, -16, -24, -32, -40, -48, -56, -64, -72, -80, -88, -96, -104, -112, -120, -128]

Please note that these segments are added to the previously provided list to cover the unreached bins.""",none,41,"{'single_0': 11, 'single_1': 12, 'single_2': 12, 'single_3': 11, 'single_4': 11, 'single_5': 13, 'single_6': 13, 'single_7': 11, 'single_8': 11, 'single_9': 11, 'single_10': 12, 'single_11': 13, 'single_12': 11, 'single_13': 10, 'single_14': 11, 'single_15': 12, 'single_-16': 13, 'single_-15': 13, 'single_-14': 13, 'single_-13': 11, 'single_-12': 11, 'single_-11': 13, 'single_-10': 13, 'single_-9': 11, 'single_-8': 12, 'single_-7': 13, 'double_1_-1': 5, 'double_2_-2': 5, 'double_4_-4': 6, 'double_5_-5': 10, 'double_6_-6': 10, 'double_10_-10': 5, 'double_11_-11': 4, 'double_13_-13': 6, 'double_15_-15': 5, 'double_stride_np_overflow': 2, 'double_stride_pn_overflow': 2, 'no_stride_to_double': 1, 'no_stride_to_single': 2, 'single_stride_to_double': 5, 'double_stride_to_single': 6}"
7,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Single-stride pattern segment of stride width -5 is unreached.
- Double-stride pattern segment of stride width pair (0, 5) is unreached.
- Double-stride pattern segment of stride width pair (0, 15) is unreached.
- Single-stride pattern segment of stride width -6 is unreached.
- Double-stride pattern segment of stride width pair (0, 14) is unreached.
------
Please regenerate a segment of length 16 for each of these unreached bins according to the BINS DESCRIPTION.""","""Apologies for the oversight. Here is an updated list of integers to cover the unreached bins:

Single-stride pattern segment of stride width -5: 
[-5, -10, -15, -20, -25, -30, -35, -40, -45, -50, -55, -60, -65, -70, -75, -80]

Double-stride pattern segment of stride width pair (0, 5): 
[0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5]

Double-stride pattern segment of stride width pair (0, 15): 
[0, 15, 0, 15, 0, 15, 0, 15, 0, 15, 0, 15, 0, 15, 0, 15]

Single-stride pattern segment of stride width -6: 
[-6, -12, -18, -24, -30, -36, -42, -48, -54, -60, -66, -72, -78, -84, -90, -96]

Double-stride pattern segment of stride width pair (0, 14): 
[0, 14, 0, 14, 0, 14, 0, 14, 0, 14, 0, 14, 0, 14, 0, 14]

Please note that these segments are added to the previously provided list to cover the unreached bins.""",none,44,"{'single_0': 11, 'single_1': 12, 'single_2': 12, 'single_3': 11, 'single_4': 11, 'single_5': 13, 'single_6': 13, 'single_7': 11, 'single_8': 11, 'single_9': 11, 'single_10': 12, 'single_11': 13, 'single_12': 11, 'single_13': 10, 'single_14': 11, 'single_15': 14, 'single_-16': 13, 'single_-15': 13, 'single_-14': 13, 'single_-13': 11, 'single_-12': 11, 'single_-11': 13, 'single_-10': 13, 'single_-9': 11, 'single_-8': 13, 'single_-7': 13, 'single_-6': 13, 'single_-5': 11, 'double_1_-1': 5, 'double_2_-2': 5, 'double_4_-4': 6, 'double_5_-5': 16, 'double_6_-6': 10, 'double_10_-10': 5, 'double_11_-11': 4, 'double_13_-13': 6, 'double_14_-14': 5, 'double_15_-15': 9, 'double_stride_np_overflow': 2, 'double_stride_pn_overflow': 2, 'no_stride_to_double': 1, 'no_stride_to_single': 2, 'single_stride_to_double': 7, 'double_stride_to_single': 7}"
8,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Double-stride pattern segment of stride width pair (0, 13) is unreached.
- Single-stride pattern segment of stride width -3 is unreached.
- Single-stride pattern segment of stride width -4 is unreached.
- Double-stride pattern segment of stride width pair (0, -13) is unreached.
- Double-stride pattern segment of stride width pair (0, 5) is unreached.
------
Please regenerate a segment of length 16 for each of these unreached bins according to the BINS DESCRIPTION.""","""Apologies for the oversight. Here is an updated list of integers to cover the unreached bins:

Double-stride pattern segment of stride width pair (0, 13): 
[0, 13, 0, 13, 0, 13, 0, 13, 0, 13, 0, 13, 0, 13, 0, 13]

Single-stride pattern segment of stride width -3: 
[-3, -6, -9, -12, -15, -18, -21, -24, -27, -30, -33, -36, -39, -42, -45, -48]

Single-stride pattern segment of stride width -4: 
[-4, -8, -12, -16, -20, -24, -28, -32, -36, -40, -44, -48, -52, -56, -60, -64]

Double-stride pattern segment of stride width pair (0, -13): 
[0, -13, 0, -13, 0, -13, 0, -13, 0, -13, 0, -13, 0, -13, 0, -13]

Double-stride pattern segment of stride width pair (0, 5): 
[0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5]

Please note that these segments are added to the previously provided list to cover the unreached bins.""",none,46,"{'single_0': 11, 'single_1': 12, 'single_2': 12, 'single_3': 11, 'single_4': 11, 'single_5': 14, 'single_6': 13, 'single_7': 11, 'single_8': 11, 'single_9': 11, 'single_10': 12, 'single_11': 13, 'single_12': 11, 'single_13': 12, 'single_14': 11, 'single_15': 14, 'single_-16': 13, 'single_-15': 13, 'single_-14': 13, 'single_-13': 11, 'single_-12': 11, 'single_-11': 13, 'single_-10': 13, 'single_-9': 11, 'single_-8': 13, 'single_-7': 13, 'single_-6': 13, 'single_-5': 11, 'single_-4': 11, 'single_-3': 13, 'double_1_-1': 5, 'double_2_-2': 5, 'double_4_-4': 6, 'double_5_-5': 26, 'double_6_-6': 10, 'double_10_-10': 5, 'double_11_-11': 4, 'double_13_-13': 10, 'double_14_-14': 6, 'double_15_-15': 9, 'double_stride_np_overflow': 4, 'double_stride_pn_overflow': 4, 'no_stride_to_double': 1, 'no_stride_to_single': 2, 'single_stride_to_double': 8, 'double_stride_to_single': 8}"
9,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Double-stride pattern segment of stride width pair (0, 12) is unreached.
- Single-stride pattern segment of stride width -1 is unreached.
- Single-stride pattern segment of stride width -2 is unreached.
- Double-stride pattern segment of stride width pair (0, -16) is unreached.
- Double-stride pattern segment of stride width pair (0, -11) is unreached.
------
Please regenerate a segment of length 16 for each of these unreached bins according to the BINS DESCRIPTION.""","""Apologies for the oversight. Here is an updated list of integers to cover the unreached bins:

Double-stride pattern segment of stride width pair (0, 12): 
[0, 12, 0, 12, 0, 12, 0, 12, 0, 12, 0, 12, 0, 12, 0, 12]

Single-stride pattern segment of stride width -1: 
[-1, -2, -3, -4, -5, -6, -7, -8, -9, -10, -11, -12, -13, -14, -15, -16]

Single-stride pattern segment of stride width -2: 
[-2, -4, -6, -8, -10, -12, -14, -16, -18, -20, -22, -24, -26, -28, -30, -32]

Double-stride pattern segment of stride width pair (0, -16): 
[0, -16, 0, -16, 0, -16, 0, -16, 0, -16, 0, -16, 0, -16, 0, -16]

Double-stride pattern segment of stride width pair (0, -11): 
[0, -11, 0, -11, 0, -11, 0, -11, 0, -11, 0, -11, 0, -11, 0, -11]

Please note that these segments are added to the previously provided list to cover the unreached bins.""",none,49,"{'single_0': 11, 'single_1': 12, 'single_2': 12, 'single_3': 11, 'single_4': 11, 'single_5': 14, 'single_6': 13, 'single_7': 11, 'single_8': 11, 'single_9': 11, 'single_10': 12, 'single_11': 13, 'single_12': 13, 'single_13': 12, 'single_14': 11, 'single_15': 14, 'single_-16': 13, 'single_-15': 13, 'single_-14': 13, 'single_-13': 11, 'single_-12': 11, 'single_-11': 13, 'single_-10': 13, 'single_-9': 11, 'single_-8': 13, 'single_-7': 13, 'single_-6': 13, 'single_-5': 11, 'single_-4': 11, 'single_-3': 13, 'single_-2': 11, 'single_-1': 13, 'double_1_-1': 5, 'double_2_-2': 5, 'double_4_-4': 6, 'double_5_-5': 27, 'double_6_-6': 10, 'double_10_-10': 5, 'double_11_-11': 4, 'double_12_-12': 4, 'double_13_-13': 10, 'double_14_-14': 6, 'double_15_-15': 9, 'double_stride_np_overflow': 7, 'double_stride_pn_overflow': 8, 'no_stride_to_double': 1, 'no_stride_to_single': 2, 'single_stride_to_double': 9, 'double_stride_to_single': 9}"
