Trial #,Message cnt,Token cnt,Coverage rate,Coverage plan
1,40,144781,4,"{'add_seen': 5, 'add_zero_dst': 1, 'add_zero_src': 2, 'add_same_src': 1}"
2,46,163333,4,"{'add_seen': 7, 'add_zero_dst': 2, 'add_zero_src': 2, 'add_same_src': 1}"
3,41,142885,4,"{'add_seen': 2, 'add_zero_dst': 1, 'add_zero_src': 1, 'sw_seen': 4}"
4,54,188319,6,"{'add_seen': 4, 'sltu_seen': 2, 'sh_seen': 1, 'sh_same_src': 1, 'sw_seen': 3, 'sw_same_src': 2}"
5,51,184459,5,"{'add_seen': 1, 'xor_seen': 2, 'xor_zero_dst': 2, 'xor_zero_src': 2, 'sw_seen': 2}"
6,76,311371,8,"{'add_seen': 10, 'add_zero_dst': 2, 'add_zero_src': 5, 'xor_seen': 3, 'xor_zero_dst': 3, 'xor_same_src': 3, 'sw_seen': 8, 'sw_same_src': 2}"
7,56,202069,4,"{'add_seen': 7, 'add_zero_src': 3, 'slt_seen': 1, 'slt_zero_dst': 1}"
8,36,135719,2,"{'add_seen': 2, 'sw_seen': 4}"
9,47,163586,4,"{'add_seen': 1, 'sw_seen': 10, 'sw_zero_src': 2, 'sw_same_src': 5}"
10,37,130516,3,"{'add_seen': 1, 'add_zero_src': 1, 'sw_seen': 4}"
11,28,86722,2,"{'add_seen': 2, 'add_zero_src': 1}"
12,32,106865,4,"{'add_seen': 2, 'add_zero_dst': 1, 'add_zero_src': 1, 'add_same_src': 1}"
13,43,129558,4,"{'add_seen': 4, 'sw_seen': 3, 'sw_zero_src': 1, 'sw_same_src': 2}"
14,55,213363,6,"{'add_seen': 4, 'add_same_src': 4, 'xor_seen': 3, 'xor_zero_dst': 3, 'xor_zero_src': 3, 'sw_seen': 1}"
15,54,215918,7,"{'add_seen': 1, 'slt_seen': 1, 'slt_zero_dst': 1, 'slt_same_src': 1, 'sw_seen': 5, 'sw_zero_src': 2, 'sw_same_src': 1}"
16,37,141152,2,"{'add_seen': 4, 'add_zero_src': 3}"
17,39,136660,6,"{'add_seen': 3, 'add_zero_src': 1, 'sw_seen': 4, 'sw_zero_src': 4, 'jal_seen': 1, 'jal_zero_dst': 1}"
18,116,398404,11,"{'add_seen': 6, 'add_zero_dst': 1, 'add_zero_src': 2, 'slt_seen': 1, 'sltu_seen': 2, 'sltu_zero_dst': 2, 'xor_seen': 3, 'xor_zero_dst': 3, 'xor_same_src': 3, 'sw_seen': 13, 'sw_zero_src': 3}"
