Model,gpt-3.5-turbo-0613,SYSTEM,"Please output a list of (positive or negative) integers only, each integer between -523 and 523. 
Output format: [a, b, c, ...].",temperature,0.4,top_p,1,Prompter,TemplatePromptGenerator4SD1,Extractor,DumbExtractor
Total Message#,Dialog #,Message #,USER,ASSISTANT,Action,Coverage Rate,Coverage Plan
1,1,1,"""You will receive a description of bins (i.e. test cases) of a testbench for a hardware device under test (DUT). Then, you are going to generate a list of integers to cover these test cases.

----------
Now, we want to test the DUT with a list of integers as its input. We want the input to cover the bins (i.e. test cases) that we care about. Here's the description of the bins that we care about:
------
BINS DESCRIPTION
- The list contains segments (i.e. subsequences) of int.
- Each segment is of length 18.
- A segment follows a single-stride pattern with a stride width x if: the differences between two adjacent integers are always x.
- A segment follows a double-stride pattern with a stride width pair (x, y) if: the differences between two adjacent integers are alternating x and y, meanwhile x and y are different.
- A segment has no stride pattern if it neither follows a single-stride pattern nor a double-stride pattern.
- The maximum stride width is 15, and the minimum stride width is -16.
- For each of the following bins, the list contains at least one segment that satisfies it:
---
    - stride_1_seen - One bin per possible stride width between the minimum and maximum stride width, where the segment follows a single-stride pattern of the stride width.
    - stride_2_seen - One bin per pair of possible stride widths between the minimum and maximum stride width, where the segment follows a double-stride pattern of the stride width pair.
    - misc_bins - Various bins grouped in a dictionary:
        - single_stride_[n|p]_overflow - A segment where an incoming stream of values has a valid single stride but that stride is below the minimum (n) or above the maximum (p) stride width.
        - double_stride_[n|p][n|p] - A segment where an incoming stream of values has a valid double stride but those strides are below the minimum (n) or above the maximum (p) stride widths, nn indicates both are below the minimum, where np indicates one is below the minimum and the other above the maximum.
---
- Also, the list contains consecutive segments that satisfy the following bins:
---
    - no_stride_to_[single|double] - A segment has no repeating stride pattern, followed by another segment with a single/double stride pattern.
    - [single|double]_stride_[double|single] - A segment of single/double repeating stride pattern, followed by another segment with a double/single pattern.
---

------

----------
Following the bins description, generate a list that contains segments of integers, which covers the described bins as much as you can.
""","""Here is a list that covers the described bins as much as possible:

[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 
-1, -2, -3, -4, -5, -6, -7, -8, -9, -10, -11, -12, -13, -14, -15, -16, -17, -18, 
1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 
-1, -3, -5, -7, -9, -11, -13, -15, -17, -19, -21, -23, -25, -27, -29, -31, -33, -35, 
2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 
-2, -4, -6, -8, -10, -12, -14, -16, -18, -20, -22, -24, -26, -28, -30, -32, -34, -36, 
1, -1, 2, -2, 3, -3, 4, -4, 5, -5, 6, -6, 7, -7, 8, -8, 9, -9, 
10, -10, 11, -11, 12, -12, 13, -13, 14, -14, 15, -15, 16, -16, 17, -17, 18, -18, 
1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 
3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 
5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, """,none,7,"{'single_1': 26, 'single_2': 26, 'single_-2': 26, 'single_-1': 13, 'double_1_-1': 32, 'no_stride_to_double': 1, 'no_stride_to_single': 1}"
2,1,2,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Single-stride pattern segment of stride width 0 is unreached.
- Single-stride pattern segment of stride width 3 is unreached.
- Single-stride pattern segment of stride width 15 is unreached.
- Single-stride pattern segment of stride width -12 is unreached.
- Single-stride pattern segment of stride width -15 is unreached.
- Double-stride pattern segment of stride width pair (-1, -13) is unreached.
- Double-stride pattern segment of stride width pair (15, 8) is unreached.
------
Please regenerate a segment of length 18 for each of these unreached bins according to the BINS DESCRIPTION.""","""I apologize for the oversight. Here is a revised list that covers the unreached bins:

[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 36, 39, 42, 45, 48, 51, 54, 
-12, -24, -36, -48, -60, -72, -84, -96, -108, -120, -132, -144, -156, -168, -180, -192, -204, -216, 
15, 23, 31, 39, 47, 55, 63, 71, 79, 87, 95, 103, 111, 119, 127, 135, 143, 151, 
-1, -14, -27, -40, -53, -66, -79, -92, -105, -118, -131, -144, -157, -170, -183, -196, -209, -222, 
15, 23, 31, 39, 47, 55, 63, 71, 79, 87, 95, 103, 111, 119, 127, 135, 143, 151, 
-1, -14, -27, -40, -53, -66, -79, -92, -105, -118, -131, -144, -157, -170, -183, -196, -209, -222]

This revised list includes segments that cover the unreached bins.""",none,12,"{'single_0': 13, 'single_1': 27, 'single_2': 26, 'single_3': 13, 'single_8': 26, 'single_-13': 25, 'single_-12': 13, 'single_-2': 26, 'single_-1': 13, 'double_1_-1': 32, 'no_stride_to_double': 1, 'no_stride_to_single': 2}"
3,1,3,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Single-stride pattern segment of stride width 4 is unreached.
- Single-stride pattern segment of stride width 5 is unreached.
- Single-stride pattern segment of stride width -15 is unreached.
- Single-stride pattern segment of stride width -4 is unreached.
- Single-stride pattern segment of stride width 13 is unreached.
- Double-stride pattern segment of stride width pair (-7, 5) is unreached.
- Double-stride pattern segment of stride width pair (-3, 14) is unreached.
------
Please regenerate a segment of length 18 for each of these unreached bins according to the BINS DESCRIPTION.""","""I apologize for the oversight once again. Here is a revised list that covers the unreached bins:

[4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68, 72,
5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90,
-15, -30, -45, -60, -75, -90, -105, -120, -135, -150, -165, -180, -195, -210, -225, -240, -255, -270,
-4, -8, -12, -16, -20, -24, -28, -32, -36, -40, -44, -48, -52, -56, -60, -64, -68, -72,
13, 26, 39, 52, 65, 78, 91, 104, 117, 130, 143, 156, 169, 182, 195, 208, 221, 234,
-7, 5, -2, 10, 3, 15, 8, 20, 13, 25, 18, 30, 23, 35, 28, 40, 33, 45,
-3, 14, -6, 16, -9, 19, -12, 22, -15, 25, -18, 28, -21, 31, -24, 34, -27, 37]

This revised list includes segments that cover the unreached bins.""",none,19,"{'single_0': 13, 'single_1': 27, 'single_2': 26, 'single_3': 13, 'single_4': 13, 'single_5': 13, 'single_8': 26, 'single_12': 1, 'single_13': 13, 'single_-15': 13, 'single_-13': 26, 'single_-12': 13, 'single_-4': 13, 'single_-2': 26, 'single_-1': 13, 'double_1_-1': 32, 'double_12_-7': 5, 'no_stride_to_double': 1, 'no_stride_to_single': 2}"
4,1,4,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Single-stride pattern segment of stride width 6 is unreached.
- Single-stride pattern segment of stride width 7 is unreached.
- Single-stride pattern segment of stride width -8 is unreached.
- Single-stride pattern segment of stride width -3 is unreached.
- Double-stride pattern segment of stride width pair (0, 2) is unreached.
- Double-stride pattern segment of stride width pair (15, -4) is unreached.
- Double-stride pattern segment of stride width pair (-2, 2) is unreached.
------
Please regenerate a segment of length 18 for each of these unreached bins according to the BINS DESCRIPTION.""","""I apologize for the oversight once again. Here is a revised list that covers the unreached bins:

[6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108,
7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84, 91, 98, 105, 112, 119, 126,
-8, -16, -24, -32, -40, -48, -56, -64, -72, -80, -88, -96, -104, -112, -120, -128, -136, -144,
-3, -6, -9, -12, -15, -18, -21, -24, -27, -30, -33, -36, -39, -42, -45, -48, -51, -54,
0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34,
15, -4, 11, -2, 13, 0, 15, 2, 17, 4, 19, 6, 21, 8, 23, 10, 25, 12,
-2, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2]

This revised list includes segments that cover the unreached bins.""",none,25,"{'single_0': 13, 'single_1': 27, 'single_2': 39, 'single_3': 13, 'single_4': 13, 'single_5': 13, 'single_6': 15, 'single_7': 13, 'single_8': 26, 'single_12': 1, 'single_13': 13, 'single_-15': 13, 'single_-13': 27, 'single_-12': 13, 'single_-8': 13, 'single_-4': 13, 'single_-3': 13, 'single_-2': 26, 'single_-1': 13, 'double_1_-1': 32, 'double_2_-2': 5, 'double_12_-7': 5, 'double_-13_15': 5, 'no_stride_to_double': 2, 'no_stride_to_single': 3}"
5,1,5,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Single-stride pattern segment of stride width 9 is unreached.
- Single-stride pattern segment of stride width 10 is unreached.
- Single-stride pattern segment of stride width -16 is unreached.
- Double-stride pattern segment of stride width pair (0, 5) is unreached.
- Double-stride pattern segment of stride width pair (0, 1) is unreached.
- Double-stride pattern segment of stride width pair (12, -3) is unreached.
- Double-stride pattern segment of stride width pair (-9, -14) is unreached.
------
Please regenerate a segment of length 18 for each of these unreached bins according to the BINS DESCRIPTION.""","""I apologize for the oversight once again. Here is a revised list that covers the unreached bins:

[9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99, 108, 117, 126, 135, 144, 153, 162,
10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180,
-16, -32, -48, -64, -80, -96, -112, -128, -144, -160, -176, -192, -208, -224, -240, -256, -272, -288,
0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85,
0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1,
12, -3, 9, -6, 15, -9, 18, -12, 21, -15, 24, -18, 27, -21, 30, -24, 33, -27,
-9, -14, -9, -14, -9, -14, -9, -14, -9, -14, -9, -14, -9, -14, -9, -14, -9, -14]

This revised list includes segments that cover the unreached bins.""",none,32,"{'single_0': 13, 'single_1': 28, 'single_2': 40, 'single_3': 13, 'single_4': 13, 'single_5': 26, 'single_6': 15, 'single_7': 13, 'single_8': 26, 'single_9': 15, 'single_10': 13, 'single_12': 1, 'single_13': 13, 'single_-16': 13, 'single_-15': 13, 'single_-13': 27, 'single_-12': 13, 'single_-8': 13, 'single_-5': 1, 'single_-4': 13, 'single_-3': 13, 'single_-2': 26, 'single_-1': 13, 'double_1_-1': 37, 'double_2_-2': 5, 'double_12_-7': 5, 'double_-13_15': 5, 'double_-5_5': 10, 'no_stride_to_double': 3, 'no_stride_to_single': 3, 'single_stride_to_double': 1, 'double_stride_to_single': 1}"
6,1,6,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Single-stride pattern segment of stride width 11 is unreached.
- Single-stride pattern segment of stride width 14 is unreached.
- Double-stride pattern segment of stride width pair (0, 12) is unreached.
- Single-stride pattern segment of stride width -14 is unreached.
- Double-stride pattern segment of stride width pair (0, 15) is unreached.
- Double-stride pattern segment of stride width pair (15, 5) is unreached.
- Double-stride pattern segment of stride width pair (-8, -13) is unreached.
------
Please regenerate a segment of length 18 for each of these unreached bins according to the BINS DESCRIPTION.""","""I apologize for the oversight once again. Here is a revised list that covers the unreached bins:

[11, 22, 33, 44, 55, 66, 77, 88, 99, 110, 121, 132, 143, 154, 165, 176, 187, 198,
14, 28, 42, 56, 70, 84, 98, 112, 126, 140, 154, 168, 182, 196, 210, 224, 238, 252,
0, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 132, 144, 156, 168, 180, 192, 204,
-14, -28, -42, -56, -70, -84, -98, -112, -126, -140, -154, -168, -182, -196, -210, -224, -238, -252,
0, 15, 30, 45, 60, 75, 90, 105, 120, 135, 150, 165, 180, 195, 210, 225, 240, 255,
15, 5, 20, 10, 25, 15, 30, 20, 35, 25, 40, 30, 45, 35, 50, 40, 55, 45,
-8, -13, -16, -21, -24, -29, -32, -37, -40, -45, -48, -53, -56, -61, -64, -69, -72, -77]

This revised list includes segments that cover the unreached bins.""",none,39,"{'single_0': 13, 'single_1': 28, 'single_2': 40, 'single_3': 13, 'single_4': 13, 'single_5': 26, 'single_6': 15, 'single_7': 13, 'single_8': 26, 'single_9': 15, 'single_10': 13, 'single_11': 15, 'single_12': 14, 'single_13': 13, 'single_14': 13, 'single_15': 13, 'single_-16': 13, 'single_-15': 13, 'single_-14': 13, 'single_-13': 27, 'single_-12': 13, 'single_-10': 1, 'single_-8': 13, 'single_-5': 2, 'single_-4': 13, 'single_-3': 13, 'single_-2': 26, 'single_-1': 13, 'double_1_-1': 37, 'double_2_-2': 5, 'double_12_-7': 5, 'double_-13_15': 5, 'double_-10_15': 5, 'double_-5_5': 10, 'double_-5_-3': 5, 'no_stride_to_double': 3, 'no_stride_to_single': 3, 'single_stride_to_double': 2, 'double_stride_to_single': 2}"
7,1,7,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Single-stride pattern segment of stride width -11 is unreached.
- Single-stride pattern segment of stride width -9 is unreached.
- Double-stride pattern segment of stride width pair (0, 11) is unreached.
- Double-stride pattern segment of stride width pair (0, -12) is unreached.
- Double-stride pattern segment of stride width pair (0, 7) is unreached.
- Double-stride pattern segment of stride width pair (5, 7) is unreached.
- Double-stride pattern segment of stride width pair (-9, -15) is unreached.
------
Please regenerate a segment of length 18 for each of these unreached bins according to the BINS DESCRIPTION.""","""I apologize for the oversight once again. Here is a revised list that covers the unreached bins:

[-11, -22, -33, -44, -55, -66, -77, -88, -99, -110, -121, -132, -143, -154, -165, -176, -187, -198,
-9, -18, -27, -36, -45, -54, -63, -72, -81, -90, -99, -108, -117, -126, -135, -144, -153, -162,
0, 11, 22, 33, 44, 55, 66, 77, 88, 99, 110, 121, 132, 143, 154, 165, 176, 187,
0, -12, -24, -36, -48, -60, -72, -84, -96, -108, -120, -132, -144, -156, -168, -180, -192, -204,
0, 7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84, 91, 98, 105, 112, 119,
5, 7, 12, 14, 19, 21, 26, 28, 33, 35, 40, 42, 47, 49, 54, 56, 61, 63,
-9, -15, -24, -30, -39, -45, -54, -60, -69, -75, -84, -90, -99, -105, -114, -120, -129, -135]

This revised list includes segments that cover the unreached bins.""",none,43,"{'single_0': 13, 'single_1': 28, 'single_2': 41, 'single_3': 13, 'single_4': 13, 'single_5': 26, 'single_6': 15, 'single_7': 26, 'single_8': 26, 'single_9': 15, 'single_10': 13, 'single_11': 28, 'single_12': 14, 'single_13': 13, 'single_14': 13, 'single_15': 13, 'single_-16': 13, 'single_-15': 13, 'single_-14': 13, 'single_-13': 27, 'single_-12': 26, 'single_-11': 15, 'single_-10': 1, 'single_-9': 13, 'single_-8': 13, 'single_-5': 3, 'single_-4': 13, 'single_-3': 13, 'single_-2': 26, 'single_-1': 13, 'double_1_-1': 37, 'double_2_5': 5, 'double_2_-2': 5, 'double_12_-7': 5, 'double_-13_15': 5, 'double_-10_15': 5, 'double_-6_-9': 5, 'double_-5_5': 10, 'double_-5_-3': 5, 'no_stride_to_double': 3, 'no_stride_to_single': 3, 'single_stride_to_double': 3, 'double_stride_to_single': 3}"
8,1,8,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Single-stride pattern segment of stride width -7 is unreached.
- Single-stride pattern segment of stride width -6 is unreached.
- Double-stride pattern segment of stride width pair (0, -13) is unreached.
- Double-stride pattern segment of stride width pair (0, 3) is unreached.
- Double-stride pattern segment of stride width pair (0, 9) is unreached.
- Double-stride pattern segment of stride width pair (-12, 11) is unreached.
- Double-stride pattern segment of stride width pair (-2, -9) is unreached.
------
Please regenerate a segment of length 18 for each of these unreached bins according to the BINS DESCRIPTION.""","""I apologize for the oversight once again. Here is a revised list that covers the unreached bins:

[-7, -14, -21, -28, -35, -42, -49, -56, -63, -70, -77, -84, -91, -98, -105, -112, -119, -126,
-6, -12, -18, -24, -30, -36, -42, -48, -54, -60, -66, -72, -78, -84, -90, -96, -102, -108,
0, -13, -26, -39, -52, -65, -78, -91, -104, -117, -130, -143, -156, -169, -182, -195, -208, -221,
0, 3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 36, 39, 42, 45, 48, 51,
0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99, 108, 117, 126, 135, 144, 153,
-12, 11, -1, 10, 0, 9, -2, 8, -3, 7, -4, 6, -5, 5, -6, 4, -7, 3,
-2, -9, -4, -11, -6, -13, -8, -15, -10, -17, -12, -19, -14, -21, -16, -23, -18, -25]

This revised list includes segments that cover the unreached bins.""",none,46,"{'single_0': 13, 'single_1': 28, 'single_2': 41, 'single_3': 26, 'single_4': 13, 'single_5': 26, 'single_6': 15, 'single_7': 26, 'single_8': 26, 'single_9': 28, 'single_10': 13, 'single_11': 28, 'single_12': 14, 'single_13': 13, 'single_14': 13, 'single_15': 13, 'single_-16': 13, 'single_-15': 13, 'single_-14': 13, 'single_-13': 40, 'single_-12': 26, 'single_-11': 15, 'single_-10': 1, 'single_-9': 13, 'single_-8': 13, 'single_-7': 16, 'single_-6': 14, 'single_-5': 3, 'single_-4': 13, 'single_-3': 13, 'single_-2': 26, 'single_-1': 13, 'double_1_-1': 37, 'double_2_5': 5, 'double_2_-2': 5, 'double_12_-7': 5, 'double_-13_15': 5, 'double_-10_15': 5, 'double_-7_5': 10, 'double_-6_-9': 5, 'double_-5_5': 10, 'double_-5_-3': 5, 'no_stride_to_double': 4, 'no_stride_to_single': 3, 'single_stride_to_double': 3, 'double_stride_to_single': 4}"
9,1,9,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Double-stride pattern segment of stride width pair (0, 1) is unreached.
- Double-stride pattern segment of stride width pair (0, 2) is unreached.
- Double-stride pattern segment of stride width pair (0, -12) is unreached.
- Double-stride pattern segment of stride width pair (0, 7) is unreached.
- Double-stride pattern segment of stride width pair (0, -7) is unreached.
- Double-stride pattern segment of stride width pair (5, -16) is unreached.
- Double-stride pattern segment of stride width pair (5, 9) is unreached.
------
Please regenerate a segment of length 18 for each of these unreached bins according to the BINS DESCRIPTION.""","""I apologize for the oversight once again. Here is a revised list that covers the unreached bins:

[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1,
0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2,
0, -12, 0, -12, 0, -12, 0, -12, 0, -12, 0, -12, 0, -12, 0, -12, 0, -12,
0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7,
0, -7, 0, -7, 0, -7, 0, -7, 0, -7, 0, -7, 0, -7, 0, -7, 0, -7,
5, -16, 5, -16, 5, -16, 5, -16, 5, -16, 5, -16, 5, -16, 5, -16, 5, -16,
5, 9, 5, 9, 5, 9, 5, 9, 5, 9, 5, 9, 5, 9, 5, 9, 5, 9]

This revised list includes segments that cover the unreached bins.""",none,50,"{'single_0': 13, 'single_1': 28, 'single_2': 42, 'single_3': 26, 'single_4': 14, 'single_5': 26, 'single_6': 15, 'single_7': 27, 'single_8': 26, 'single_9': 28, 'single_10': 13, 'single_11': 28, 'single_12': 14, 'single_13': 13, 'single_14': 13, 'single_15': 13, 'single_-16': 13, 'single_-15': 13, 'single_-14': 13, 'single_-13': 40, 'single_-12': 26, 'single_-11': 15, 'single_-10': 1, 'single_-9': 13, 'single_-8': 13, 'single_-7': 17, 'single_-6': 14, 'single_-5': 3, 'single_-4': 13, 'single_-3': 13, 'single_-2': 26, 'single_-1': 13, 'double_1_-1': 43, 'double_2_5': 5, 'double_2_-2': 10, 'double_4_-4': 10, 'double_7_-7': 11, 'double_12_-7': 5, 'double_-13_15': 5, 'double_-10_15': 5, 'double_-7_5': 10, 'double_-6_-9': 5, 'double_-5_5': 10, 'double_-5_-3': 5, 'double_stride_np_overflow': 5, 'double_stride_pn_overflow': 6, 'no_stride_to_double': 4, 'no_stride_to_single': 3, 'single_stride_to_double': 3, 'double_stride_to_single': 4}"
