Model,gpt-3.5-turbo-0613,SYSTEM,"Please output a list of (positive or negative) integers only, each integer between -523 and 523. 
Output format: [a, b, c, ...].",temperature,0.4,top_p,1,Prompter,TemplatePromptGenerator4SD1,Extractor,DumbExtractor
Total Message#,Dialog #,Message #,Total Token Cnt,USER,Input Token Cnt,ASSISTANT,Output Token Cnt,Action,Coverage Rate,Coverage Plan
1,1,1,1208,"""You will receive a description of bins (i.e. test cases) of a testbench for a hardware device under test (DUT). Then, you are going to generate a list of integers to cover these test cases.

----------
Now, we want to test the DUT with a list of integers as its input. We want the input to cover the bins (i.e. test cases) that we care about. Here's the description of the bins that we care about:
------
BINS DESCRIPTION
- The list contains segments (i.e. subsequences) of int.
- Each segment is of length 18.
- A segment follows a single-stride pattern with a stride width x if: the differences between two adjacent integers are always x.
- A segment follows a double-stride pattern with a stride width pair (x, y) if: the differences between two adjacent integers are alternating x and y, meanwhile x and y are different.
- A segment has no stride pattern if it neither follows a single-stride pattern nor a double-stride pattern.
- The maximum stride width is 15, and the minimum stride width is -16.
- For each of the following bins, the list contains at least one segment that satisfies it:
---
    - stride_1_seen - One bin per possible stride width between the minimum and maximum stride width, where the segment follows a single-stride pattern of the stride width.
    - stride_2_seen - One bin per pair of possible stride widths between the minimum and maximum stride width, where the segment follows a double-stride pattern of the stride width pair.
    - misc_bins - Various bins grouped in a dictionary:
        - single_stride_[n|p]_overflow - A segment where an incoming stream of values has a valid single stride but that stride is below the minimum (n) or above the maximum (p) stride width.
        - double_stride_[n|p][n|p] - A segment where an incoming stream of values has a valid double stride but those strides are below the minimum (n) or above the maximum (p) stride widths, nn indicates both are below the minimum, where np indicates one is below the minimum and the other above the maximum.
---
- Also, the list contains consecutive segments that satisfy the following bins:
---
    - no_stride_to_[single|double] - A segment has no repeating stride pattern, followed by another segment with a single/double stride pattern.
    - [single|double]_stride_[double|single] - A segment of single/double repeating stride pattern, followed by another segment with a double/single pattern.
---

------

----------
Following the bins description, generate a list that contains segments of integers, which covers the described bins as much as you can.
""",608,"""Here is a list that covers the described bins as much as possible:

[-15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15,
 -14, -14, -14, -14, -14, -14, -14, -14, -14, -14, -14, -14, -14, -14, -14, -14, -14, -14,
 -13, -13, -13, -13, -13, -13, -13, -13, -13, -13, -13, -13, -13, -13, -13, -13, -13, -13,
 -12, -12, -12, -12, -12, -12, -12, -12, -12, -12, -12, -12, -12, -12, -12, -12, -12, -12,
 -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11,
 -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10,
  -9,  -9,  -9,  -9,  -9,  -9,  -9,  -9,  -9,  -9,  -9,  -9,  -9,  -9,  -9,  -9,  -9,  -9,
  -8,  -8,  -8,  -8,  -8,  -8,  -8,  -8,  -8,  -8,  -8,  -8,  -8,  -8,  -8,  -8,  -8,  -8,
  -7,  -7,  -7,  -7,  -7,  -7,  -7,  -7,  -7,  -7,  -7,  -7,  -7,  -7,  -7,  -7,  -7,  -7,
  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -""",600,none,2,"{'single_0': 170, 'no_stride_to_single': 1}"
2,1,2,1903,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Single-stride pattern segment of stride width 1 is unreached.
- Single-stride pattern segment of stride width 2 is unreached.
- Single-stride pattern segment of stride width 15 is unreached.
- Single-stride pattern segment of stride width -9 is unreached.
- Single-stride pattern segment of stride width -12 is unreached.
- Double-stride pattern segment of stride width pair (8, -13) is unreached.
- Double-stride pattern segment of stride width pair (-9, 12) is unreached.
------
Please regenerate a segment of length 18 for each of these unreached bins according to the BINS DESCRIPTION.""",1413,"""Here is a new list that covers the previously unreached bins:

[-1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]  # Single-stride pattern segment of stride width 1
[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34]  # Single-stride pattern segment of stride width 2
[-15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2]  # Single-stride pattern segment of stride width 15
[-9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8]  # Single-stride pattern segment of stride width -9
[-12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5]  # Single-stride pattern segment of stride width -12
[8, -5, 3, -10, 8, -5, 3, -10, 8, -5, 3, -10, 8, -5, 3, -10, 8, -5]  # Double-stride pattern segment of stride width pair (8, -13)
[-9, 3, -9, 3, -9, 3, -9, 3, -9, 3, -9, 3, -9, 3, -9, 3, -9, 3]  # Double-stride pattern segment of stride width pair (-9, 12)""",490,none,7,"{'single_0': 170, 'single_1': 57, 'single_2': 14, 'double_stride_np_overflow': 2, 'double_stride_pn_overflow': 2, 'no_stride_to_double': 1, 'no_stride_to_single': 2}"
3,1,3,2598,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Single-stride pattern segment of stride width 3 is unreached.
- Single-stride pattern segment of stride width 4 is unreached.
- Single-stride pattern segment of stride width 11 is unreached.
- Single-stride pattern segment of stride width -12 is unreached.
- Single-stride pattern segment of stride width 8 is unreached.
- Double-stride pattern segment of stride width pair (12, 4) is unreached.
- Double-stride pattern segment of stride width pair (14, 3) is unreached.
------
Please regenerate a segment of length 18 for each of these unreached bins according to the BINS DESCRIPTION.""",2108,"""Here is a new list that covers the previously unreached bins:

[0, 3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 36, 39, 42, 45, 48, 51]  # Single-stride pattern segment of stride width 3
[0, 4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]  # Single-stride pattern segment of stride width 4
[0, 11, 22, 33, 44, 55, 66, 77, 88, 99, 110, 121, 132, 143, 154, 165, 176, 187]  # Single-stride pattern segment of stride width 11
[-12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5]  # Single-stride pattern segment of stride width -12
[0, 8, 16, 24, 32, 40, 48, 56, 64, 72, 80, 88, 96, 104, 112, 120, 128, 136]  # Single-stride pattern segment of stride width 8
[12, 16, 28, 32, 44, 48, 60, 64, 76, 80, 92, 96, 108, 112, 124, 128, 140, 144]  # Double-stride pattern segment of stride width pair (12, 4)
[14, 17, 20, 23, 26, 29, 32, 35, 38, 41, 44, 47, 50, 53, 56, 59, 62, 65]  # Double-stride pattern segment of stride width pair (14, 3)""",490,none,14,"{'single_0': 170, 'single_1': 69, 'single_2': 14, 'single_3': 29, 'single_4': 13, 'single_8': 14, 'single_11': 14, 'double_12_4': 6, 'double_stride_np_overflow': 2, 'double_stride_pn_overflow': 2, 'no_stride_to_double': 1, 'no_stride_to_single': 4, 'single_stride_to_double': 1, 'double_stride_to_single': 1}"
4,1,4,3293,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Single-stride pattern segment of stride width 5 is unreached.
- Single-stride pattern segment of stride width 6 is unreached.
- Single-stride pattern segment of stride width -16 is unreached.
- Single-stride pattern segment of stride width 9 is unreached.
- Single-stride pattern segment of stride width -3 is unreached.
- Double-stride pattern segment of stride width pair (11, -11) is unreached.
- Double-stride pattern segment of stride width pair (10, -16) is unreached.
------
Please regenerate a segment of length 18 for each of these unreached bins according to the BINS DESCRIPTION.""",2803,"""Here is a new list that covers the previously unreached bins:

[0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85]  # Single-stride pattern segment of stride width 5
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102]  # Single-stride pattern segment of stride width 6
[-16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1]  # Single-stride pattern segment of stride width -16
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99, 108, 117, 126, 135, 144, 153]  # Single-stride pattern segment of stride width 9
[0, -3, -6, -9, -12, -15, -18, -21, -24, -27, -30, -33, -36, -39, -42, -45, -48, -51]  # Single-stride pattern segment of stride width -3
[11, 0, -11, 0, 11, 0, -11, 0, 11, 0, -11, 0, 11, 0, -11, 0, 11, 0]  # Double-stride pattern segment of stride width pair (11, -11)
[10, -6, 4, -16, 10, -6, 4, -16, 10, -6, 4, -16, 10, -6, 4, -16, 10, -6]  # Double-stride pattern segment of stride width pair (10, -16)""",490,none,18,"{'single_0': 170, 'single_1': 81, 'single_2': 14, 'single_3': 29, 'single_4': 13, 'single_5': 14, 'single_6': 14, 'single_8': 14, 'single_9': 14, 'single_11': 14, 'single_-3': 13, 'double_12_4': 6, 'double_stride_np_overflow': 2, 'double_stride_pn_overflow': 2, 'no_stride_to_double': 1, 'no_stride_to_single': 7, 'single_stride_to_double': 1, 'double_stride_to_single': 1}"
5,1,5,4006,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Single-stride pattern segment of stride width 7 is unreached.
- Single-stride pattern segment of stride width 10 is unreached.
- Single-stride pattern segment of stride width -13 is unreached.
- Double-stride pattern segment of stride width pair (0, 3) is unreached.
- Double-stride pattern segment of stride width pair (0, 4) is unreached.
- Double-stride pattern segment of stride width pair (-6, 11) is unreached.
- Double-stride pattern segment of stride width pair (-13, 2) is unreached.
------
Please regenerate a segment of length 18 for each of these unreached bins according to the BINS DESCRIPTION.""",3508,"""Here is a new list that covers the previously unreached bins:

[0, 7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84, 91, 98, 105, 112, 119]  # Single-stride pattern segment of stride width 7
[0, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170]  # Single-stride pattern segment of stride width 10
[-13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4]  # Single-stride pattern segment of stride width -13
[0, 3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 36, 39, 42, 45, 48, 51]  # Double-stride pattern segment of stride width pair (0, 3)
[0, 4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]  # Double-stride pattern segment of stride width pair (0, 4)
[-6, 5, -1, 10, 4, 15, 9, 20, 14, 25, 19, 30, 24, 35, 29, 40, 34, 45]  # Double-stride pattern segment of stride width pair (-6, 11)
[-13, 2, -11, 2, -9, 2, -7, 2, -5, 2, -3, 2, -1, 2, 1, 2, 3, 2]  # Double-stride pattern segment of stride width pair (-13, 2)""",498,none,22,"{'single_0': 170, 'single_1': 94, 'single_2': 14, 'single_3': 43, 'single_4': 26, 'single_5': 14, 'single_6': 14, 'single_7': 15, 'single_8': 14, 'single_9': 14, 'single_10': 13, 'single_11': 14, 'single_-6': 3, 'single_-3': 13, 'double_12_4': 6, 'double_-6_11': 5, 'double_stride_np_overflow': 2, 'double_stride_pn_overflow': 2, 'no_stride_to_double': 1, 'no_stride_to_single': 10, 'single_stride_to_double': 1, 'double_stride_to_single': 1}"
6,1,6,4006,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Single-stride pattern segment of stride width 12 is unreached.
- Single-stride pattern segment of stride width 13 is unreached.
- Single-stride pattern segment of stride width -13 is unreached.
- Single-stride pattern segment of stride width 14 is unreached.
- Single-stride pattern segment of stride width -15 is unreached.
- Double-stride pattern segment of stride width pair (-2, 8) is unreached.
- Double-stride pattern segment of stride width pair (0, 12) is unreached.
------
Please regenerate a segment of length 18 for each of these unreached bins according to the BINS DESCRIPTION.""",3516,"""Here is a new list that covers the previously unreached bins:

[0, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 132, 144, 156, 168, 180, 192, 204]  # Single-stride pattern segment of stride width 12
[0, 13, 26, 39, 52, 65, 78, 91, 104, 117, 130, 143, 156, 169, 182, 195, 208, 221]  # Single-stride pattern segment of stride width 13
[-13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4]  # Single-stride pattern segment of stride width -13
[0, 14, 28, 42, 56, 70, 84, 98, 112, 126, 140, 154, 168, 182, 196, 210, 224, 238]  # Single-stride pattern segment of stride width 14
[0, -15, 30, -45, 60, -75, 90, -105, 120, -135, 150, -165, 180, -195, 210, -225, 240, -255]  # Single-stride pattern segment of stride width -15
[-2, 8, 6, 14, 10, 20, 14, 26, 18, 32, 22, 38, 26, 44, 30, 50, 34, 56]  # Double-stride pattern segment of stride width pair (-2, 8)
[0, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 132, 144, 156, 168, 180, 192, 204]  # Double-stride pattern segment of stride width pair (0, 12)""",490,none,25,"{'single_0': 170, 'single_1': 107, 'single_2': 14, 'single_3': 43, 'single_4': 26, 'single_5': 14, 'single_6': 14, 'single_7': 15, 'single_8': 14, 'single_9': 14, 'single_10': 13, 'single_11': 14, 'single_12': 30, 'single_13': 14, 'single_14': 14, 'single_-6': 3, 'single_-3': 13, 'double_12_4': 6, 'double_-6_11': 5, 'double_stride_np_overflow': 2, 'double_stride_pn_overflow': 2, 'no_stride_to_double': 1, 'no_stride_to_single': 13, 'single_stride_to_double': 1, 'double_stride_to_single': 1}"
7,1,7,3988,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Single-stride pattern segment of stride width 15 is unreached.
- Single-stride pattern segment of stride width -16 is unreached.
- Single-stride pattern segment of stride width -9 is unreached.
- Single-stride pattern segment of stride width -14 is unreached.
- Single-stride pattern segment of stride width -8 is unreached.
- Double-stride pattern segment of stride width pair (-11, -5) is unreached.
- Double-stride pattern segment of stride width pair (8, 1) is unreached.
------
Please regenerate a segment of length 18 for each of these unreached bins according to the BINS DESCRIPTION.""",3498,"""Here is a new list that covers the previously unreached bins:

[0, 15, 30, 45, 60, 75, 90, 105, 120, 135, 150, 165, 180, 195, 210, 225, 240, 255]  # Single-stride pattern segment of stride width 15
[-16, -32, -48, -64, -80, -96, -112, -128, -144, -160, -176, -192, -208, -224, -240, -256, -272, -288]  # Single-stride pattern segment of stride width -16
[-9, -18, -27, -36, -45, -54, -63, -72, -81, -90, -99, -108, -117, -126, -135, -144, -153, -162]  # Single-stride pattern segment of stride width -9
[-14, -28, -42, -56, -70, -84, -98, -112, -126, -140, -154, -168, -182, -196, -210, -224, -238, -252]  # Single-stride pattern segment of stride width -14
[-8, -16, -24, -32, -40, -48, -56, -64, -72, -80, -88, -96, -104, -112, -120, -128, -136, -144]  # Single-stride pattern segment of stride width -8
[-11, -5, -16, -5, -11, -5, -16, -5, -11, -5, -16, -5, -11, -5, -16, -5, -11, -5]  # Double-stride pattern segment of stride width pair (-11, -5)
[8, 1, 9, 1, 8, 1, 9, 1, 8, 1, 9, 1, 8, 1, 9, 1, 8, 1]  # Double-stride pattern segment of stride width pair (8, 1)""",490,none,30,"{'single_0': 170, 'single_1': 107, 'single_2': 14, 'single_3': 43, 'single_4': 26, 'single_5': 14, 'single_6': 14, 'single_7': 15, 'single_8': 14, 'single_9': 14, 'single_10': 13, 'single_11': 14, 'single_12': 31, 'single_13': 14, 'single_14': 14, 'single_15': 13, 'single_-16': 13, 'single_-14': 13, 'single_-9': 14, 'single_-8': 14, 'single_-6': 3, 'single_-3': 13, 'double_12_4': 6, 'double_-6_11': 5, 'double_stride_np_overflow': 2, 'double_stride_pn_overflow': 2, 'no_stride_to_double': 1, 'no_stride_to_single': 14, 'single_stride_to_double': 1, 'double_stride_to_single': 1}"
8,1,8,4033,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Single-stride pattern segment of stride width -15 is unreached.
- Single-stride pattern segment of stride width -13 is unreached.
- Double-stride pattern segment of stride width pair (0, 15) is unreached.
- Double-stride pattern segment of stride width pair (0, 10) is unreached.
- Double-stride pattern segment of stride width pair (0, 4) is unreached.
- Double-stride pattern segment of stride width pair (-2, 7) is unreached.
- Double-stride pattern segment of stride width pair (12, -9) is unreached.
------
Please regenerate a segment of length 18 for each of these unreached bins according to the BINS DESCRIPTION.""",3531,"""Here is a new list that covers the previously unreached bins:

[-15, -30, -45, -60, -75, -90, -105, -120, -135, -150, -165, -180, -195, -210, -225, -240, -255, -270]  # Single-stride pattern segment of stride width -15
[-13, -26, -39, -52, -65, -78, -91, -104, -117, -130, -143, -156, -169, -182, -195, -208, -221, -234]  # Single-stride pattern segment of stride width -13
[0, 15, 30, 45, 60, 75, 90, 105, 120, 135, 150, 165, 180, 195, 210, 225, 240, 255]  # Double-stride pattern segment of stride width pair (0, 15)
[0, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170]  # Double-stride pattern segment of stride width pair (0, 10)
[0, 4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]  # Double-stride pattern segment of stride width pair (0, 4)
[-2, 5, -4, 7, -6, 9, -8, 11, -10, 13, -12, 15, -14, 17, -16, 19, -18, 21]  # Double-stride pattern segment of stride width pair (-2, 7)
[12, -9, 3, -6, 0, -3, 9, -12, 6, -9, 3, -6, 0, -3, 9, -12, 6, -9]  # Double-stride pattern segment of stride width pair (12, -9)""",502,none,32,"{'single_0': 170, 'single_1': 107, 'single_2': 14, 'single_3': 43, 'single_4': 39, 'single_5': 14, 'single_6': 14, 'single_7': 15, 'single_8': 14, 'single_9': 14, 'single_10': 26, 'single_11': 14, 'single_12': 31, 'single_13': 14, 'single_14': 14, 'single_15': 27, 'single_-16': 13, 'single_-15': 14, 'single_-14': 13, 'single_-13': 14, 'single_-9': 14, 'single_-8': 14, 'single_-6': 3, 'single_-3': 13, 'double_12_4': 6, 'double_-6_11': 5, 'double_stride_np_overflow': 2, 'double_stride_pn_overflow': 2, 'no_stride_to_double': 1, 'no_stride_to_single': 17, 'single_stride_to_double': 1, 'double_stride_to_single': 1}"
9,1,9,4006,"""The values you provided failed to cover all the bins.
You will see the result coverage of your previous response(s), and then generate another list of integers to cover the unreached bins (i.e. test cases)
Here are some of the unreached bins:
------
UNREACHED BINS
- Single-stride pattern segment of stride width -12 is unreached.
- Single-stride pattern segment of stride width -11 is unreached.
- Double-stride pattern segment of stride width pair (0, 12) is unreached.
- Single-stride pattern segment of stride width -4 is unreached.
- Double-stride pattern segment of stride width pair (0, 1) is unreached.
- Double-stride pattern segment of stride width pair (7, 15) is unreached.
- Double-stride pattern segment of stride width pair (8, 5) is unreached.
------
Please regenerate a segment of length 18 for each of these unreached bins according to the BINS DESCRIPTION.""",3508,"""Here is a new list that covers the previously unreached bins:

[-12, -24, -36, -48, -60, -72, -84, -96, -108, -120, -132, -144, -156, -168, -180, -192, -204, -216]  # Single-stride pattern segment of stride width -12
[-11, -22, -33, -44, -55, -66, -77, -88, -99, -110, -121, -132, -143, -154, -165, -176, -187, -198]  # Single-stride pattern segment of stride width -11
[0, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 132, 144, 156, 168, 180, 192, 204]  # Double-stride pattern segment of stride width pair (0, 12)
[0, -4, -8, -12, -16, -20, -24, -28, -32, -36, -40, -44, -48, -52, -56, -60, -64, -68]  # Single-stride pattern segment of stride width -4
[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]  # Double-stride pattern segment of stride width pair (0, 1)
[0, 7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84, 91, 98, 105, 112, 119]  # Double-stride pattern segment of stride width pair (7, 15)
[0, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68, 73, 78, 83, 88]  # Double-stride pattern segment of stride width pair (8, 5)""",498,none,36,"{'single_0': 170, 'single_1': 108, 'single_2': 14, 'single_3': 43, 'single_4': 39, 'single_5': 28, 'single_6': 14, 'single_7': 30, 'single_8': 14, 'single_9': 14, 'single_10': 26, 'single_11': 14, 'single_12': 45, 'single_13': 14, 'single_14': 14, 'single_15': 27, 'single_-16': 13, 'single_-15': 14, 'single_-14': 13, 'single_-13': 14, 'single_-12': 14, 'single_-11': 14, 'single_-9': 14, 'single_-8': 14, 'single_-6': 3, 'single_-4': 12, 'single_-3': 13, 'double_1_-1': 9, 'double_12_4': 6, 'double_-6_11': 5, 'double_stride_np_overflow': 2, 'double_stride_pn_overflow': 2, 'no_stride_to_double': 1, 'no_stride_to_single': 20, 'single_stride_to_double': 2, 'double_stride_to_single': 2}"
